country,project_clean,beneficiary,grant_no,unit_sector_long,eur
Latvia,Technical Equipment,State Border Guard,2018/212,Operational Response Division,1041359
Latvia,Technical Equipment & Human Resources,State Border Guard,2020/265,Field Deployment Unit,1027916
Latvia,Human Resources,State Border Guard,2022/265,Deployment Management Division,1005415.06
Latvia,Technical Equipment,State Border Guard,2022/355/FOU,Field Operations Unit,996051
Latvia,Poseidon,State Border Guard,2017/984,Sea Border Sector,995045
Latvia,Technical Equipment,State Border Guard,2021/384,Field Operations Unit,994707
Latvia,Triton,State Border Guard,2017/625,Sea Border Sector,982773
Latvia,Technical Equipment,State Border Guard,2018/225,Operational Response Division,976039
Latvia,Technical Equipment & Human Resources,State Border Guard,2020/290,Field Deployment Unit,958101
Latvia,Technical Equipment,State Border Guard,2020/201,Field Deployment Unit,957814
Latvia,Poseidon,State Border Guard,2017/1227,Sea Border Sector,954841
Latvia,Technical Equipment,State Border Guard,2019/131,Field Deployment Unit,931141
Latvia,Human Resources,State Border Guard,2020/166,Field Deployment Unit,892942
Latvia,Technical Equipment,State Border Guard,2019/306,Field Deployment Unit,871802
Latvia,Technical Equipment,State Border Guard,2018/384,Operational Response Division,853497
Latvia,Indalo,State Border Guard,2017/1621,Sea Border Sector,845681
Latvia,Technical Equipment,State Border Guard,2019/198,Field Deployment Unit,842557
Latvia,Triton,State Border Guard,2016/832,Sea Border Sector,838306
Latvia,Triton,State Border Guard,2016/475,Sea Border Sector,816316
Latvia,Technical Equipment,State Border Guard,2021/229,Field Deployment Unit,735046
Latvia,various projects,State Border Guard,Multiple smaller grants,various,30395382.98
Lithuania,Human Resources,State Border Guard Service Lithuania,2019/64,Field Deployment Unit,2399289
Lithuania,Technical Equipment & Human Resources,State Border Guard Service Lithuania,2020/98,Field Deployment Unit,1847817
Lithuania,Human Resources,State Border Guard Service Lithuania,2018/60,Operational Response Division,1707327
Lithuania,Technical Equipment,State Border Guard Service Lithuania,2018/186,Operational Response Division,1121109
Lithuania,Technical Equipment & Human Resources,State Border Guard Service Lithuania,2020/217,Field Deployment Unit,973552
Lithuania,Technical Equipment,State Border Guard Service Lithuania,2021/125,Field Deployment Unit,958192.02
Lithuania,Technical Equipment & Human Resources,State Border Guard Service Lithuania,2021/64,Field Deployment Unit,953404
Lithuania,Technical Equipment,State Border Guard Service Lithuania,2022/177,Field Operations Unit,678446
Lithuania,Technical Equipment,State Border Guard Service Lithuania,2019/282,Field Deployment Unit,621778
Lithuania,Poseidon,State Border Guard Service Lithuania,2015/700,Sea Border Sector,600169
Lithuania,Technical Equipment & Human Resources,State Border Guard Service Lithuania,2022/82,Deployment Management Division,588034
Lithuania,Technical Equipment,State Border Guard Service Lithuania,2022/137,Field Operations Unit,580234
Lithuania,Poseidon,State Border Guard Service Lithuania,2016/618,Sea Border Sector,564653
Lithuania,Human Resources,State Border Guard Service Lithuania,2022/198,Deployment Management Division,544146.8
Lithuania,Poseidon,State Border Guard Service Lithuania,2017/503,Sea Border Sector,500510
Lithuania,Technical Equipment,State Border Guard Service Lithuania,2020/184,Field Deployment Unit,475660
Lithuania,Technical Equipment,State Border Guard Service Lithuania,2021/246,Field Deployment Unit,460763
Lithuania,Human Resources,State Border Guard Service Lithuania,2021/288,Deployment Management Division,453472.36
Lithuania,Technical Equipment,State Border Guard Service Lithuania,2022/133,Field Operations Unit,429480
Lithuania,Poseidon,State Border Guard Service Lithuania,2012/644,Sea Border Sector,361800.2
Lithuania,Poseidon,State Border Guard Service Lithuania,2012/282,Land Borders Sector,345639.55
Lithuania,Poseidon,State Border Guard Service Lithuania,2011/597/,Sea Border Sector,342994.4
Lithuania,Human Resources,State Border Guard Service Lithuania,2022/251,Deployment Management Division,332201.62
Lithuania,Human Resources,State Border Guard Service Lithuania,2021/257,Deployment Management Division,331933.6
Lithuania,Technical Equipment,State Border Guard Service Lithuania,2019/226,Field Deployment Unit,303906.38
Lithuania,Poseidon,State Border Guard Service Lithuania,2008/320/,Sea Border Sector,282123.58
Lithuania,European Centre for Returns,"Migration Department, Ministry of Interior",Multiple smaller grants,European Centre for Returns,203111
Lithuania,various projects,State Border Guard Service Lithuania,Multiple smaller grants,various,8637480.62
Luxembourg,Triton,Ministry of Internal Security,2017/694,Sea Border Sector,1610811
Luxembourg,Technical Equipment,Ministry of Internal Security,2022/322,Field Operations Unit,1565333
Luxembourg,Technical Equipment,Ministry of Internal Security,2021/357,Field Operations Unit,1564656
Luxembourg,Technical Equipment,Ministry of Internal Security,2018/43,Operational Response Division,1549367
Luxembourg,Technical Equipment,Ministry of Internal Security,2021/225,Field Deployment Unit,1451269
Luxembourg,Nautilus,Ministry of Justice Luxembourg,2009/176/,Sea Border Sector,1415356.06
Luxembourg,Technical Equipment,Ministry of Internal Security,2022/221,Field Operations Unit,1415165
Luxembourg,Technical Equipment & Human Resources,Ministry of Internal Security,2020/187,Field Deployment Unit,1354447
Luxembourg,Technical Equipment & Human Resources,Police Grand Ducale,2020/256,Field Deployment Unit,1352187
Luxembourg,Hermes,Police Grand Ducale,2010/381/,Sea Border Sector,1069320.33
Luxembourg,Technical Equipment,Ministry of Internal Security,2019/216,Field Deployment Unit,1034832
Luxembourg,Technical Equipment,Ministry of Internal Security,2018/289,Operational Response Division,1024700
Luxembourg,Technical Equipment,Police Grand Ducale,2019/32,Field Deployment Unit,1005297
Luxembourg,Technical Equipment,Police Grand Ducale,2020/78,Field Deployment Unit,977640
Luxembourg,Hera,Ministry of Justice Luxembourg,2009/115/,Sea Border Sector,926862.01
Luxembourg,Technical Equipment,Ministry of Internal Security,2022/10,Field Operations Unit,889475
Luxembourg,Technical Equipment,Ministry of Internal Security,2021/92,Field Deployment Unit,858434
Luxembourg,Hera,Ministry of Justice Luxembourg,2008/140/,Sea Border Sector,837804.63
Luxembourg,Poseidon,Ministry of Justice Luxembourg,2009/237/,Sea Border Sector,725742.28
Luxembourg,Hera,Police Grand Ducale,2010/165/,Sea Border Sector,722242.35
Luxembourg,Poseidon,Police Grand Ducale,2012/183,Sea Border Sector,691694.51
Luxembourg,Technical Equipment,Ministry of Internal Security,2019/302,Field Deployment Unit,682717
Luxembourg,Poseidon,Police Grand Ducale,2011/129/,Pooled Resources Unit,614971.04
Luxembourg,Poseidon,Ministry of Internal Security,2017/1572,Sea Border Sector,614050
Luxembourg,Poseidon,Ministry of Internal Security,2017/515,Sea Border Sector,571196
Luxembourg,Poseidon,Ministry of Justice Luxembourg,2008/181/,Sea Border Sector,559355.72
Luxembourg,Indalo,Police Grand Ducale,2011/404/,Sea Border Sector,547094.83
Luxembourg,Aeneas,Police Grand Ducale,2011/595/,Sea Border Sector,538805.29
Luxembourg,Hera,Police Grand Ducale,2010/270/,Sea Border Sector,518666.24
Luxembourg,Hera,Police Grand Ducale,2013/559,Sea Border Sector,499720.2
Luxembourg,Poseidon,Police Grand Ducale,2010/518/,Sea Border Sector,489230
Luxembourg,Hera,Police Grand Ducale,2012/498,Sea Border Sector,463677.8
Luxembourg,Hermes,Police Grand Ducale,2011/280/,Sea Border Sector,440305.48
Luxembourg,- RABIT ExcerciseThrace 2009,The Government of Grand Duchy of Luxembourg,Multiple smaller grants,Public Regulated Service,98585.69
Luxembourg,various projects,Ministry of Foreign Affairs,Multiple smaller grants,various,764886.45
Luxembourg,various projects,Ministry of Internal Security,Multiple smaller grants,various,1089770
Luxembourg,various projects,Ministry of Justice Luxembourg,Multiple smaller grants,various,600054.57
Luxembourg,various projects,Police Grand Ducale,Multiple smaller grants,various,4113146.7
Malta,Nautilus,Armed Forces of Malta,2008/142/,Sea Border Sector,1133424.75
Malta,Nautilus,Armed Forces of Malta,2009/177/,Sea Border Sector,922389.33
Malta,Technical Equipment & Human Resources,Armed Forces of Malta,2022/86,Deployment Management Division,637381
Malta,Triton,Armed Forces of Malta,2015/566,Sea Border Sector,547504
Malta,Triton,Armed Forces of Malta,2017/1133,Sea Border Sector,474059
Malta,Poseidon,Armed Forces of Malta,2016/508,Sea Border Sector,455485
Malta,Human Resources,Armed Forces of Malta,2018/112,Operational Response Division,451453
Malta,Triton,Armed Forces of Malta,2015/105,Sea Border Sector,414725
Malta,Poseidon,Armed Forces of Malta,2015/372,Sea Border Sector,408712
Malta,Technical Equipment & Human Resources,Armed Forces of Malta,2021/199,Field Deployment Unit,346143
Malta,Human Resources,Armed Forces of Malta,2019/144,Field Deployment Unit,332239
Malta,Poseidon,Armed Forces of Malta,2014/641,Sea Border Sector,331182
Malta,Triton,Armed Forces of Malta,2014/933,Sea Border Sector,300890.35
Malta,Triton,Armed Forces of Malta,2016/669,Sea Border Sector,296622
Malta,Triton,Armed Forces of Malta,2017/469,Sea Border Sector,288901
Malta,Triton,Armed Forces of Malta,2016/1006,Sea Border Sector,287440
Malta,Triton,Armed Forces of Malta,2017/1435,Sea Border Sector,287311
Malta,Triton,Armed Forces of Malta,2017/1731,Sea Border Sector,286562
Malta,Triton,Armed Forces of Malta,2017/751,Sea Border Sector,282357
Malta,Triton,Armed Forces of Malta,2015/1220,Sea Border Sector,281071
Malta,Triton,Armed Forces of Malta,2016/1336,Sea Border Sector,279185
Malta,Triton,Armed Forces of Malta,2016/88,Sea Border Sector,278871
Malta,Technical Equipment,Armed Forces of Malta,2021/142,Field Deployment Unit,272666
Malta,Technical Equipment,Armed Forces of Malta,2019/142,Field Deployment Unit,256252
Malta,Poseidon,Armed Forces of Malta,2013/764,Sea Border Sector,255458.65
Malta,Human Resources,Armed Forces of Malta,2022/253,Deployment Management Division,248086.15
Malta,Technical Equipment,Armed Forces of Malta,2018/171,Operational Response Division,240796
Malta,Triton,Armed Forces of Malta,2017/109,Sea Border Sector,239509
Malta,Technical Equipment,Armed Forces of Malta,2022/370,Field Operations Unit,226505
Malta,Human Resources,Armed Forces of Malta,2021/285,Deployment Management Division,221913.84
Malta,Triton,Armed Forces of Malta,2016/392,Sea Border Sector,215725
Malta,Poseidon,Malta Police Force,2010/749/,Sea Border Sector,203993.16
Malta,Triton,Armed Forces of Malta,2016/1604,Sea Border Sector,202759
Malta,Poseidon,Malta Police Force,2011/1081/,Land Borders Sector,193682.7
Malta,Triton,Armed Forces of Malta,2015/974,Sea Border Sector,193451
Malta,Human Resources,Armed Forces of Malta,2020/222,Field Deployment Unit,191398
Malta,Aeneas,Armed Forces of Malta,2013/475,Sea Border Sector,182380.97
Malta,FOA,Armed Forces of Malta,2016/791,Land Borders Sector,174888
Malta,Technical Equipment & Human Resources,Armed Forces of Malta,2021/107,Frontex Situation Centre,172639
Malta,Indalo,Armed Forces of Malta,2012/798,Sea Border Sector,167600.74
Malta,Poseidon,Armed Forces of Malta,2009/469/,Sea Border Sector,159277
Malta,various projects,Armed Forces of Malta,Multiple smaller grants,various,1519722.67
Malta,various projects,Malta Police Force,Multiple smaller grants,various,550864.2
Moldova,Operations Moldova 2022,Border Police,2022/141,Deployment Management Division,346315.2
Moldova,Macedonia 2022,Border Police,2022/274,Deployment Management Division,138285
Moldova,Operations Moldova 2022,Border Police,2022/327,Deployment Management Division,113400
Moldova,Operations Moldova 2022,Border Police,2022/401,Deployment Management Division,113400
Moldova,Human Resources,Border Police,2019/184,Field Deployment Unit,66853.6
Moldova,Human Resources,Border Police,2019/185,Field Deployment Unit,66521.9
Moldova,FOA,Border Police,2021/336,Deployment Management Division,50691.25
Moldova,Human Resources,Border Police,2019/186,Field Deployment Unit,40495.22
Moldova,Human Resources,Border Police,2019/212,Field Deployment Unit,34812.45
Moldova,Human Resources,Border Police,2019/86,Field Deployment Unit,28022.23
Moldova,Human Resources,Border Police,2019/128,Field Deployment Unit,20739.81
Moldova,Operational Activities LAND (MOA - LAND) and Multipurpose Operational Activities AIR (MOA - AIR),Border Police,2021/202,Field Deployment Unit,17720.27
Moldova,VEGA Children,Border Police,2017/1158,Air Border Sector,17641
Moldova,Operational Activities LAND (MOA - LAND) and Multipurpose Operational Activities AIR (MOA - AIR),Border Police,2021/239,Field Deployment Unit,17512.69
Moldova,Focal Points,Border Police,2017/1145,Land Borders Sector,17369
Moldova,Human Resources,Border Police,2018/217,Operational Response Division,15445.02
Moldova,Operations Moldova 2022,Border Police,2022/356,Deployment Management Division,14877.28
Moldova,various projects,Border Police,Multiple smaller grants,various,349879.08
Montenegro,Operational Activities in Montenegro 2021,Police Directorate,2021/72,Field Deployment Unit,30400.84
Montenegro,FOA,Police Directorate,2021/338,Deployment Management Division,19073.82
Montenegro,Operational Activities in Montenegro 2022,Police Directorate,2022/228,Deployment Management Division,17665.7
Montenegro,Operational Activities in Montenegro 2021,Police Directorate,2021/17,Field Deployment Unit,16030.74
Montenegro,Operational Activities in Montenegro 2022,Police Directorate,2022/405,Deployment Management Division,15643.4
Montenegro,Operational Activities in Montenegro 2022,Police Directorate,2022/338,Deployment Management Division,15441.17
Montenegro,Human Resources,Police Directorate,2020/288,Field Deployment Unit,14688.96
Montenegro,Operational Activities in  Montenegro 2021,Police Directorate,2021/240,Field Deployment Unit,14507.06
Montenegro,Operational Activities in Montenegro 2021,Police Directorate,2021/421,Deployment Management Division,14144.33
Montenegro,Operational Activities in Montenegro 2021,Police Directorate,2021/343,Deployment Management Division,13900.37
Montenegro,Operational Activities LAND (MOA - LAND),Police Directorate,2021/248,Field Deployment Unit,10077.26
Montenegro,DEPLOYMENTS OF 3RD COUNTRIES HR AND LIGHT TE,Police Directorate,2022/333,Deployment Management Division,9377.48
Montenegro,Operational Activities LAND 2021 (MOA - LAND),Police Directorate,2021/144,Field Deployment Unit,9231.96
Montenegro,Focal Points,Police Directorate,2021/337,Deployment Management Division,9192.37
Montenegro,DEPLOYMENTS OF 3RD COUNTRIES HR AND LIGHT TE,Police Directorate,2022/292,Deployment Management Division,9088.58
Montenegro,Montenegro 2021,Police Directorate,2021/404,Deployment Management Division,8844.62
Montenegro,Operational Activities in Montenegro 2022,Police Directorate,2022/84,Deployment Management Division,8737.62
Montenegro,Focal Points,Police Directorate,2021/376,Deployment Management Division,8670.21
Montenegro,Focal Points,Police Directorate,2022/383,Deployment Management Division,8350.28
Montenegro,Operational Activities AIR (MOA - AIR),Police Directorate,2021/175,Field Deployment Unit,8206.9
Montenegro,Human Resources,Police Directorate,2020/318,Field Deployment Unit,7813.14
Montenegro,Operational Activities in Montenegro 2022,Police Directorate,2022/149,Deployment Management Division,7726.47
Montenegro,Operational Activities in Montenegro 2022,Police Directorate,2022/70,Deployment Management Division,7524.24
Montenegro,"Sv. Petra Cetinjskog 22, Podgorica, Montenegro",Police Directorate,2021/224,Field Deployment Unit,7470.74
Montenegro,Focal Points,Ministry of Internal Affairs Montenegro,2017/1288,Air Border Sector,7426
Montenegro,Operational Activities in Montenegro 2022,Police Directorate,2022/207,Deployment Management Division,7423.66
Montenegro,Operational Activities in Montenegro 2022,Police Directorate,2022/114,Deployment Management Division,7322.01
Montenegro,Operational Activities in Montenegro 2021,Police Directorate,2021/178,Field Deployment Unit,6831.95
Montenegro,Human Resources,Police Directorate,2020/278,Field Deployment Unit,6599.76
Montenegro,Minerva,Police Directorate,2012/564,Sea Border Sector,5554
Montenegro,Focal Points,Ministry of Internal Affairs Montenegro,2016/672,Land Borders Sector,5064
Montenegro,Neptune,Police Directorate,2012/135,Land Borders Sector,4050.2
Montenegro,Alexis,Ministry of Internal Affairs Montenegro,Multiple smaller grants,Air Border Sector,667
Montenegro,various projects,Police Directorate,Multiple smaller grants,various,8014.3
Netherlands,Human Resources,Immigration and Naturalisation Service,2019/30,Field Deployment Unit,11100000
Netherlands,Human Resources,Immigration and Naturalisation Service,2018/58,Operational Response Division,6350000
Netherlands,Human Resources,Immigration and Naturalisation Service,2020/45,Field Deployment Unit,5000000
Netherlands,Technical Equipment & Human Resources,Royal Marechaussee,2022/91,Deployment Management Division,1946210
Netherlands,Human Resources,"Transport and Support Service, Ministry for Security and Justice",2018/235,Operational Response Division,1655000
Netherlands,Human Resources,Royal Marechaussee,2022/255,Deployment Management Division,1540044.45
Netherlands,Technical Equipment & Human Resources,Royal Marechaussee,2021/30,Field Deployment Unit,1344037
Netherlands,Human Resources,Royal Marechaussee,2019/31,Field Deployment Unit,1111104
Netherlands,Technical Equipment & Human Resources,Royal Marechaussee,2020/46,Field Deployment Unit,1078000
Netherlands,Triton,Royal Marechaussee,2016/706,Sea Border Sector,1047258
Netherlands,Human Resources,Royal Marechaussee,2021/314,Deployment Management Division,1039528.16
Netherlands,Triton,Immigration and Naturalisation Service,2017/1664,Sea Border Sector,1014858
Netherlands,Human Resources,Royal Marechaussee,2022/160,Deployment Management Division,945973.25
Netherlands,Poseidon,Royal Marechaussee,2016/18,Sea Border Sector,917795
Netherlands,Human Resources,Royal Marechaussee,2018/73,Operational Response Division,910000
Netherlands,Poseidon,Royal Marechaussee,2016/341,Sea Border Sector,908300
Netherlands,Focal Points,NA,Multiple smaller grants,Air Border Sector,23765.54
Netherlands,Return Operations,Ministry of Justice Netherlands,Multiple smaller grants,Return Operations Sector,161124.69
Netherlands,Technical Equipment & Human Resources,Sea Port Police,Multiple smaller grants,Frontex Situation Centre,10130
Netherlands,Technical Equipment & Human Resources,"Transport and Support Service, Ministry for Security and Justice",Multiple smaller grants,various,484997
Netherlands,various projects,Immigration and Naturalisation Service,Multiple smaller grants,various,15753492.17
Netherlands,various projects,Repatriation and Departure Service,Multiple smaller grants,various,7364814.86
Netherlands,various projects,Royal Marechaussee,Multiple smaller grants,various,24290479.59
Nigeria,Triton,Immigration Service,2016/811,Sea Border Sector,9075
Nigeria,Focal Points,Immigration Service,2016/1521,Air Border Sector,6274
Nigeria,Focal Points,Immigration Service,2015/751,Air Border Sector,5425
North Macedonia,Operational Activities LAND 2021 (MOA - LAND),"Public Security Bureau, Ministry of Internal Affairs",2021/272,Field Deployment Unit,39670.42
North Macedonia,Human Resources,"Public Security Bureau, Ministry of Internal Affairs",2019/114,Field Deployment Unit,35381.65
North Macedonia,Human Resources,Ministry of Internal Affairs Macedonia,2018/208,Operational Response Division,29055.17
North Macedonia,Human Resources,"Public Security Bureau, Ministry of Internal Affairs",2019/231,Field Deployment Unit,22553.72
North Macedonia,FOA,Ministry of Internal Affairs Macedonia,2017/969,Land Borders Sector,19483
North Macedonia,Human Resources,Ministry of Internal Affairs Macedonia,2018/122,Operational Response Division,19322.79
North Macedonia,FOA,Ministry of Internal Affairs Macedonia,2016/692,Land Borders Sector,17908
North Macedonia,Flexible Operational Activities,Ministry of Internal Affairs Macedonia,2015/664,Land Borders Sector,17745
North Macedonia,Focal Points,"Public Security Bureau, Ministry of Internal Affairs",2021/350,Deployment Management Division,14426.66
North Macedonia,Hubble,Ministry of Internal Affairs Macedonia,2011/326/,Air Border Sector,12792.08
North Macedonia,Flight Tracking Project,Ministry of Internal Affairs Macedonia,2014/761,Air Border Sector,12026.8
North Macedonia,Focal Points,Ministry of Internal Affairs Macedonia,2017/966,Land Borders Sector,11944
North Macedonia,Hubble,Ministry of Internal Affairs Macedonia,2012/434,Air Border Sector,10736.93
North Macedonia,Focal Points,Ministry of Internal Affairs Macedonia,2016/1306,Land Borders Sector,10347
North Macedonia,FP Air 2022,"Public Security Bureau, Ministry of Internal Affairs",2022/314,Deployment Management Division,8661.65
North Macedonia,Triton,Ministry of Internal Affairs Macedonia,2017/1667,Sea Border Sector,8471
North Macedonia,Human Resources,Ministry of Internal Affairs Macedonia,2018/182,Operational Response Division,8356.7
North Macedonia,Human Resources,Ministry of Internal Affairs Macedonia,2018/267,Operational Response Division,7982.2
North Macedonia,FP Air 2022,"Public Security Bureau, Ministry of Internal Affairs",2022/151,Deployment Management Division,7156.16
North Macedonia,Human Resources,"Public Security Bureau, Ministry of Internal Affairs",2019/292,Field Deployment Unit,6990.85
North Macedonia,Focal Points,"Public Security Bureau, Ministry of Internal Affairs",2021/325,Deployment Management Division,6727.09
North Macedonia,Focal Points,Ministry of Internal Affairs Macedonia,2014/392,Land Borders Sector,6333.91
North Macedonia,Focal Points,Ministry of Internal Affairs Macedonia,2016/1062,Air Border Sector,6188
North Macedonia,Human Resources,"Public Security Bureau, Ministry of Internal Affairs",2019/310,Field Deployment Unit,5944.92
North Macedonia,Alexis,Ministry of Internal Affairs Macedonia,2015/890,Air Border Sector,5851
North Macedonia,Focal Points,Ministry of Internal Affairs Macedonia,2015/920,Land Borders Sector,5815
North Macedonia,Human Resources,"Public Security Bureau, Ministry of Internal Affairs",2019/168,Field Deployment Unit,5489.1
North Macedonia,Human Resources,Ministry of Internal Affairs Macedonia,2018/116,Operational Response Division,5450.11
North Macedonia,Alexis,Ministry of Internal Affairs Macedonia,2016/409,Air Border Sector,5410
North Macedonia,Focal Points,Ministry of Internal Affairs Macedonia,2017/656,Air Border Sector,5331
North Macedonia,Focal Points,Ministry of Internal Affairs Macedonia,2013/583,Air Border Sector,4889.47
North Macedonia,Alexis,Ministry of Internal Affairs Macedonia,2016/1305,Air Border Sector,4870
North Macedonia,Human Resources,Ministry of Internal Affairs Macedonia,2018/341,Operational Response Division,4725.12
North Macedonia,Focal Points,Ministry of Internal Affairs Macedonia,2015/766,Air Border Sector,4708
North Macedonia,Focal Points,Ministry of Internal Affairs Macedonia,2013/814,Air Border Sector,4702.12
North Macedonia,Alexis,Ministry of Internal Affairs Macedonia,2017/495,Air Border Sector,4351
North Macedonia,Alexis,Ministry of Internal Affairs Macedonia,2017/1497,Air Border Sector,4339
North Macedonia,various projects,Ministry of Internal Affairs Macedonia,Multiple smaller grants,various,20561.5
Norway,Triton,National Police Directorate,2016/60,Sea Border Sector,2471748
Norway,Triton,National Police Directorate,2017/1386,Sea Border Sector,2470356
Norway,Triton,National Police Directorate,2017/26,Sea Border Sector,2466481
Norway,Triton,National Police Directorate,2017/742,Sea Border Sector,2432598
Norway,Triton,National Police Directorate,2015/816,Sea Border Sector,2031094
Norway,Triton,National Police Directorate,2015/470,Sea Border Sector,1751315
Norway,Triton,National Police Directorate,2016/1568,Sea Border Sector,1605592
Norway,Triton,National Police Directorate,2015/1190,Sea Border Sector,1554855
Norway,Triton,National Police Directorate,2016/894,Sea Border Sector,1353744
Norway,Triton,National Police Directorate,2016/589,Sea Border Sector,1329920
Norway,Triton,National Police Directorate,2016/1213,Sea Border Sector,1307520
Norway,European Centre for Returns,National Police Immigration Service,2022/218,European Centre for Returns,1096935
Norway,Human Resources,National Police Directorate,2019/39,Field Deployment Unit,764214
Norway,Poseidon,National Police Directorate,2017/37,Sea Border Sector,717557
Norway,Return Operations,National Police Immigration Service,2018/82,Return Support Unit,591740
Norway,Poseidon,National Police Directorate,2015/585,Sea Border Sector,566446
Norway,Poseidon,National Police Directorate,2015/969,Sea Border Sector,520423
Norway,Poseidon,National Police Directorate,2015/1322,Sea Border Sector,489552
Norway,Poseidon,National Police Directorate,2016/1412,Sea Border Sector,484727
Norway,Human Resources,National Police Directorate,2018/9,Operational Response Division,464962
Norway,Human Resources,National Police Directorate,2022/162,Deployment Management Division,444964
Norway,European Centre for Returns,National Police Immigration Service,2022/273,European Centre for Returns,444840
Norway,various projects,National Police Directorate,Multiple smaller grants,various,7753319.14
Norway,various projects,National Police Immigration Service,Multiple smaller grants,various,6189538.34
Pakistan,2022/CFP/POST/01,"Women Empowerment Literacy & Development Organisation, Non-profit Organisation",2022/127,European Centre for Returns,303960
Poland,Human Resources,Border Guard,2019/23,Field Deployment Unit,3478095.46
Poland,Technical Equipment & Human Resources,Border Guard,2021/28,Field Deployment Unit,3392772
Poland,Technical Equipment & Human Resources,Border Guard,2020/16,Field Deployment Unit,3213928
Poland,Technical Equipment & Human Resources,Border Guard,2022/25,Deployment Management Division,2849312
Poland,Human Resources,Border Guard,2018/47,Operational Response Division,2600000
Poland,2020/CFP/TRU/03,"Border Guard Training Centre, Koszalin",2020/233,Training Unit,1215123.67
Poland,Human Resources,Border Guard,2022/167,Deployment Management Division,1199025
Poland,2020/CFP/TRU/03,"Border Guard Training Centre, Ketrzyn",2020/234,Training Unit,1061362
Poland,Human Resources,Border Guard,2021/301,Deployment Management Division,1031832.16
Poland,Human Resources,Border Guard,2022/256,European Centre for Returns,949388
Poland,Human Resources,Border Guard,2021/258,Deployment Management Division,779900.62
Poland,Poseidon,Border Guard,2016/12,Sea Border Sector,637924
Poland,Poseidon,Border Guard,2016/961,Sea Border Sector,507727
Poland,Poseidon,Border Guard,2010/260/,Sea Border Sector,471836.42
Poland,various projects,Border Guard,Multiple smaller grants,various,19942018.33
Portugal,Trainings standing corps,National Maritime Authority,2022/208,Training Unit,3263994.71
Portugal,Technical Equipment,Portugese Air Force,2022/312,Field Operations Unit,2892242
Portugal,Technical Equipment,Portugese Air Force,2018/148,Operational Response Division,2804179
Portugal,Technical Equipment,Portugese Air Force,2019/38,Field Deployment Unit,2740699
Portugal,Technical Equipment,Portugese Navy,2018/234,Operational Response Division,2066564
Portugal,Technical Equipment,Portugese Air Force,2021/347,Field Operations Unit,1995619
Portugal,Human Resources,Foreigners and Borders Service,2021/283,Deployment Management Division,1943771.89
Portugal,Human Resources,Foreigners and Borders Service,2022/368,Deployment Management Division,1746003.42
Portugal,Technical Equipment,Portugese Navy,2018/137,Operational Response Division,1661579
Portugal,Triton,Foreigners and Borders Service,2016/1642,Sea Border Sector,1652337
Portugal,Technical Equipment & Human Resources,Portugese Air Force,2020/236,Field Deployment Unit,1627164
Portugal,Technical Equipment,Guarda Nacional Republicana,2022/123,Field Operations Unit,1405010
Portugal,Technical Equipment,Portugese Air Force,2019/325,Field Deployment Unit,1276942.79
Portugal,Poseidon,Foreigners and Borders Service,2011/197/,Sea Border Sector,1233939.19
Portugal,Human Resources,Guarda Nacional Republicana,2018/61,Operational Response Division,1224482.8
Portugal,Triton,Foreigners and Borders Service,2016/538,Sea Border Sector,1217604
Portugal,AZUL 2022,Maritime Analysis and Operations Centre (Narcotics) – MAOC(N),Multiple smaller grants,Law Enforcement Sector,48096.2
Portugal,various projects,Foreigners and Borders Service,Multiple smaller grants,various,41350391.73
Portugal,various projects,Guarda Nacional Republicana,Multiple smaller grants,various,7859160.38
Portugal,various projects,Maritime Police,Multiple smaller grants,various,9358132.95
Portugal,various projects,National Maritime Authority,Multiple smaller grants,various,3074584
Portugal,various projects,Portugese Air Force,Multiple smaller grants,various,271736
Portugal,various projects,Portugese Navy,Multiple smaller grants,various,3704949.93
Romania,Technical Equipment & Human Resources,Romanian Border Police / Coast Guard,2022/28,Deployment Management Division,4187706
Romania,Technical Equipment & Human Resources,Romanian Border Police / Coast Guard,2021/96,Field Deployment Unit,3221611
Romania,Technical Equipment & Human Resources,Romanian Border Police / Coast Guard,2020/99,Field Deployment Unit,2941595
Romania,Human Resources,Romanian Border Police / Coast Guard,2018/12,Operational Response Division,2100000
Romania,Human Resources,Romanian Border Police / Coast Guard,2019/75,Field Deployment Unit,1971960.16
Romania,Technical Equipment,Romanian Border Police / Coast Guard,2021/329,Field Operations Unit,1633766
Romania,Human Resources,Romanian Border Police / Coast Guard,2022/258,Deployment Management Division,1463506.89
Romania,Human Resources,Romanian Border Police / Coast Guard,2021/313,Deployment Management Division,1363525.09
Romania,Technical Equipment,Romanian Border Police / Coast Guard,2022/271,Field Operations Unit,1266756
Romania,Technical Equipment,Romanian Border Police / Coast Guard,2021/143,Field Deployment Unit,1102109
Romania,Poseidon,Romanian Border Police / Coast Guard,2017/551,Sea Border Sector,841335
Romania,Poseidon,Romanian Border Police / Coast Guard,2011/142/,Sea Border Sector,807182.88
Romania,Poseidon,Romanian Border Police / Coast Guard,2017/1232,Sea Border Sector,803532
Romania,Technical Equipment & Human Resources,Romanian Border Police / Coast Guard,2020/210,Field Deployment Unit,759489
Romania,Technical Equipment & Human Resources,Romanian Border Police / Coast Guard,2020/153,Field Deployment Unit,739880
Romania,Technical Equipment,Romanian Border Police / Coast Guard,2019/213,Field Deployment Unit,735152
